date,open,high,low,close,volume
2015-01-14,4242.146,4260.34,4191.827,4220.656,35525577600
2015-01-15,4219.933,4304.687,4211.029,4304.687,39627587200
2015-01-16,4315.204,4365.769,4308.692,4349.651,47692697600
2015-01-19,4158.213,4244.645,4064.532,4102.099,58405708800
2015-01-20,4096.624,4197.626,4096.624,4196.971,52570723200
2015-01-21,4218.969,4347.107,4215.296,4342.22,61021792000
2015-01-22,4345.708,4390.163,4327.677,4385.058,53526777600
2015-01-23,4397.304,4421.363,4347.055,4368.623,53887398400
2015-01-26,4376.606,4436.849,4370.445,4435.868,49087628800
2015-01-27,4443.05,4451.141,4350.414,4425.595,56966259200
2015-01-28,4402.647,4437.592,4370.17,4383.216,46217632000
2015-01-29,4335.368,4368.127,4315.314,4342.749,42449699200
2015-01-30,4354.427,4372.579,4287.778,4287.844,40660854400
2015-02-02,4218.589,4274.214,4203.896,4227.981,37727859200
2015-02-03,4255.151,4318.583,4244.735,4317.458,38800886400
2015-02-04,4326.768,4354.006,4288.922,4290.962,39905251200
2015-02-05,4362.555,4363.659,4261.616,4261.616,47565315200
2015-02-06,4246.732,4259.057,4160.421,4184.678,38874073600
2015-02-09,4175.8,4220.654,4168.543,4192.663,31972243200
2015-02-10,4190.521,4258.277,4186.52,4257.965,29451526400
2015-02-11,4266.479,4307.676,4265.13,4300.678,29463478400
2015-02-12,4303.293,4331.153,4285.809,4323.557,32101100800
2015-02-13,4343.351,4405.299,4343.351,4376.232,41973840000
2015-02-16,4384.127,4437.575,4383.464,4436.61,38314028800
2015-02-17,4451.68,4476.742,4451.084,4468.303,37042374400
2015-02-25,4478.624,4478.624,4421.305,4436.94,37929126400
2015-02-26,4432.061,4514.122,4422.449,4512.461,45931824000
2015-02-27,4512.463,4549.662,4509.316,4540.135,47291404800
2015-03-02,4574.928,4608.109,4547.203,4607.945,57814547200
2015-03-03,4589.022,4598.501,4534.208,4537.468,62328256000
2015-03-04,4540.6,4590.232,4536.881,4589.902,50175174400
2015-03-05,4580.059,4586.35,4546.284,4575.789,53319936000
2015-03-06,4580.137,4593.33,4530.542,4535.455,47211753600
2015-03-09,4508.981,4606.424,4480.802,4604.999,49365923200
2015-03-10,4597.768,4649.964,4593.066,4624.647,46959097600
2015-03-11,4628.554,4655.943,4610.878,4625.728,46530736000
2015-03-12,4649.263,4664.261,4636.409,4661.811,54272083200
2015-03-13,4674.08,4711.142,4673.974,4710.852,49676598400
2015-03-16,4741.938,4841.606,4734.419,4841.606,63859718400
2015-03-17,4872.132,4919.018,4851.135,4908.645,81851104000
2015-03-18,4917.841,5012.061,4909.136,5012.041,85051769600
2015-03-19,5016.048,5034.687,4979.343,5027.449,83145286400
2015-03-20,5037.037,5097.507,5027.657,5089.961,79794195200
2015-03-23,5123.678,5209.12,5123.678,5208.891,84390124800
2015-03-24,5223.731,5238.985,5077.38,5231.421,100876652800
2015-03-25,5225.61,5275.584,5193.827,5241.517,83784288000
2015-03-26,5217.507,5278.027,5166.463,5212.772,77937478400
2015-03-27,5213.546,5270.222,5195.74,5256.351,63177145600
2015-03-30,5279.644,5362.047,5279.644,5350.514,84231315200
2015-03-31,5392.411,5408.913,5321.021,5335.489,85831059200
2015-04-01,5340.983,5459.499,5337.007,5448.165,71869580800
2015-04-02,5479.64,5509.47,5429.937,5509.212,78147129600
2015-04-03,5485.504,5590.945,5465.769,5590.937,77568307200
2015-04-07,5634.745,5711.901,5629.412,5711.517,89116979200
2015-04-08,5734.899,5743.279,5591.372,5706.098,95529862400
2015-04-09,5720.622,5721.473,5526.254,5660.241,90590982400
2015-04-10,5640.911,5794.294,5613.884,5787.21,75624006400
2015-04-13,5834.96,5915.08,5805.785,5901.748,89901651200
2015-04-14,5912.487,5966.345,5854.549,5915.937,90898304000
2015-04-15,5907.719,5908.621,5761.521,5764.913,90240262400
2015-04-16,5711.429,5911.273,5670.327,5885.225,79099078400
2015-04-17,5950.612,5993.938,5915.372,5958.144,101246374400
2015-04-20,5964.042,6023.324,5823.121,5852.959,120315520000
2015-04-21,5855.952,6023.453,5851.838,6023.42,92536384000
2015-04-22,6059.878,6188.909,6059.878,6188.01,102389100800
2015-04-23,6219.51,6266.525,6152.63,6224.562,102379494400
2015-04-24,6152.288,6229.894,6092.317,6205.162,96234880000
2015-04-27,6265.769,6325.653,6222.477,6300.925,99593216000
2015-04-28,6308.114,6312.673,6112.334,6167.86,108138137600
2015-04-29,6147.266,6275.12,6118.84,6257.593,77312134400
2015-04-30,6278.27,6333.424,6258.497,6258.607,78601222400
2015-05-04,6270.567,6316.501,6197.553,6307.571,74216537600
2015-05-05,6305.518,6305.837,6054.745,6086.056,85572064000
2015-05-06,6112.608,6218.801,5978.905,6028.221,72815008000
2015-05-07,5993.222,6020.873,5906.361,5912.674,60334592000
2015-05-08,5973.494,6095.279,5942.436,6094.716,63365504000
2015-05-11,6149.588,6324.47,6104.444,6324.111,78511347200
2015-05-12,6347.78,6441.02,6312.804,6440.472,83155155200
2015-05-13,6425.061,6509.205,6375.737,6450.715,83489548800
2015-05-14,6455.586,6489.567,6399.497,6453.702,76439385600
2015-05-15,6435.814,6448.343,6316.468,6384.318,72863731200
2015-05-18,6359.576,6472.341,6342.705,6435.067,65418982400
2015-05-19,6453.784,6629.008,6453.784,6623.785,72824371200
2015-05-20,6659.26,6825.422,6659.26,6715.712,86736544000
2015-05-21,6746.532,6904.413,6736.54,6903.761,79653964800
2015-05-22,6997.62,7034.447,6888.312,7026.532,105985241600
2015-05-25,6989.302,7203.356,6965.406,7202.85,107229619200
2015-05-26,7255.975,7410.274,7196.542,7409.926,112076441600
2015-05-27,7443.123,7481.766,7294.833,7451.343,109618073600
2015-05-28,7451.543,7528.688,6990.267,6993.602,126587302400
2015-05-29,6984.651,7168.097,6708.676,7047.314,98729120000
2015-06-01,7098.982,7402.928,7086.053,7402.478,92514035200
